2026-06-09 15:53:03 | INFO | Exporting sheet FACT_Attendance with 2 row(s)
2026-06-09 15:53:03 | INFO | Finished sheet FACT_Attendance
2026-06-09 15:53:03 | INFO | Exporting sheet Schema_Guide with 18 row(s)
2026-06-09 15:53:03 | INFO | Finished sheet Schema_Guide
2026-06-09 15:53:04 | INFO | Export status: success
2026-06-09 15:53:04 | INFO | Output file: C:\Users\Prathamesh\AppData\Local\Temp\pytest-of-Prathamesh\pytest-5\test_cli_smoke_generates_workb0\cli-output.xlsx
2026-06-09 15:53:04 | INFO | Processing time seconds: 0.732
2026-06-09 16:01:27 | INFO | Starting attendance star schema generation
2026-06-09 16:01:27 | INFO | Input file: C:\Users\Prathamesh\AppData\Local\Temp\pytest-of-Prathamesh\pytest-6\test_export_workbook_contains_0\input.xlsx
2026-06-09 16:01:27 | INFO | Reading Excel workbook
2026-06-09 16:01:27 | INFO | Sheet read: Raw Data
2026-06-09 16:01:27 | INFO | Rows read: 2
2026-06-09 16:01:27 | INFO | Validating required columns
2026-06-09 16:01:27 | INFO | Cleaning raw attendance rows
2026-06-09 16:01:27 | INFO | Blank rows removed: 0
2026-06-09 16:01:27 | INFO | Duplicates removed: 0
2026-06-09 16:01:27 | INFO | Rows after cleaning: 2
2026-06-09 16:01:27 | INFO | Invalid dates converted to null: 0
2026-06-09 16:01:27 | INFO | Invalid times converted to null: 0
2026-06-09 16:01:27 | INFO | Building DIM_Employee
2026-06-09 16:01:27 | INFO | DIM_Employee count: 2
2026-06-09 16:01:27 | INFO | Building DIM_Date
2026-06-09 16:01:27 | INFO | DIM_Date count: 2
2026-06-09 16:01:27 | INFO | Building DIM_Cost_Centre
2026-06-09 16:01:27 | INFO | DIM_Cost_Centre count: 2
2026-06-09 16:01:27 | INFO | Building DIM_Shift
2026-06-09 16:01:27 | INFO | DIM_Shift count: 2
2026-06-09 16:01:27 | INFO | Building DIM_Attendance_Type
2026-06-09 16:01:27 | INFO | DIM_Attendance_Type count: 2
2026-06-09 16:01:27 | INFO | Building DIM_Remarks
2026-06-09 16:01:27 | INFO | DIM_Remarks count: 1
2026-06-09 16:01:27 | INFO | Building FACT_Attendance
2026-06-09 16:01:28 | INFO | FACT_Attendance count: 2
2026-06-09 16:01:28 | INFO | Validating foreign keys
2026-06-09 16:01:28 | INFO | Foreign key validation passed
